"","Constituency","Elected MP","Elected Party","Region"
"1","Ahanta West","Francis Fynn","NDC","Western"
"2","Amenfi Central","Dr. John Frank Abu","NDC","Western"
"3","Amenfi East","George Buadi","NDC","Western"
"4","Amenfi West","Joseph King Amankpah","NDC","Western"
"5","Aowin-Suaman","John Kwekucher Ackah","NDC","Western"
"6","Bia","Christian Kwabena Asante","NDC","Western"
"7","Bibiani","Kwame Darko","NDC","Western"
"8","Effia/Kwesimintsim","James Mike Abban","NCP","Western"
"9","Ellembele","John Aitpillah","NDC","Western"
"10","Evalue Gwira","Charles Henry Turpin","NDC","Western"
"11","Jomoro","Joseph Emmanuel Ackah","NDC","Western"
"12","Juabeso","Kingsley Asoah-Apima","NDC","Western"
"13","Mpohor-Wassa East","Mary Stella Ankomah","NCP","Western"
"14","Prestea/Huni-Valley","Kwaku Acheampong Bonful","NDC","Western"
"15","Sefwi-Wiawso","John Kweku Danso","NDC","Western"
"16","Sekondi","Albert Bosomtwi-Sam","NDC","Western"
"17","Shama","Richard Dornu Nartey","NDC","Western"
"18","Takoradi","Tabitha Sybil Quaye","NDC","Western"
"19","Adansi Asokwa","John Gyasi","NDC","Ashanti"
"20","Afigya-Sekyere East","Pius M G Griffiths","NDC","Ashanti"
"21","Afigya-Sekyere West","Mrs. Beatrice Aboagye","NDC","Ashanti"
"22","Ahafo Ano North","George Kwasi Adjei Annim","EGLE","Ashanti"
"23","Ahafo Ano South","Gabriel Barimah","NDC","Ashanti"
"24","Amansie West","Kofi Amankwaa Peasah","NDC","Ashanti"
"25","Asante Akim North","","NDC","Ashanti"
"26","Asante Akim South","","NDC","Ashanti"
"27","Asokwa East","Othman Baba Yahya","NCP","Ashanti"
"28","Asokwa West","Anthony K. Sarpong Kumankuma","NCP","Ashanti"
"29","Atwima/Kwanwoma","Sampson Adu Gyamfi","NDC","Ashanti"
"30","Atwima Mponua","","NDC","Ashanti"
"31","Atwima Nwabiagya","Yaw Bampoh","NDC","Ashanti"
"32","Bantama","Ofori Owusu Jibreel","NDC","Ashanti"
"33","Bekwai","Oduro Ofrikyi","NDC","Ashanti"
"34","Bosome-Freho","","NDC","Ashanti"
"35","Bosomtwe","Yaw Addai Boadu","EGLE","Ashanti"
"36","Effiduase-Asokore","","NDC","Ashanti"
"37","Ejisu/Juabeng","Mohammed Boakye-Agyemang","NDC","Ashanti"
"38","Ejura Sekyedumasi","Peter Boakye Ansah","NDC","Ashanti"
"39","Fomena","Nana Odame Kusi","NDC","Ashanti"
"40","Kumawu","Jargisu Ibrahim","NDC","Ashanti"
"41","Kwabre","Abena Takyiwa","NDC","Ashanti"
"42","Mampong","Dr. George Akosa","NDC","Ashanti"
"43","Manhyia","William Kwaku Asante","NDC","Ashanti"
"44","New Edubease","Mary Euginia Ghann","NDC","Ashanti"
"45","Nsuta/Kwamang","Samuel Brenyah","NDC","Ashanti"
"46","Obuasi","Peter Keneth Owusu","NDC","Ashanti"
"47","Odotobri","Maxwell Mensah Ebenezer","NCP","Ashanti"
"48","Offinso North","Emmanuel Kwame Boakye","NDC","Ashanti"
"49","Offinso South","Oheneba Kofi Asamoah","EGLE","Ashanti"
"50","Old Tafo Suame","Nana Kwasi Afful Kingsley","EGLE","Ashanti"
"51","Subin","Sarkodie Joseph A tuffour","NDC","Ashanti"
"52","Asunafo North","David Kwasi Amankwaah","NDC","Brong Ahafo"
"53","Asunafo South","","NDC","Brong Ahafo"
"54","Asutifi North","Baah-Danquah Emmanuel","NDC","Brong Ahafo"
"55","Asutifi South","Collins Dauda","NDC","Brong Ahafo"
"56","Atebubu North","","","Brong Ahafo"
"57","Atebubu South","Ali Amadu","NDC","Brong Ahafo"
"58","Berekum","J.H. Owusu Acheampong(Majority Leader)","NDC","Brong Ahafo"
"59","Dormaa East","Yaw Oppong Kyekyeku","NCP","Brong Ahafo"
"60","Dormaa West","","","Brong Ahafo"
"61","Jaman","","","Brong Ahafo"
"62","Kintampo","Kwasi Gyasi Manu","NDC","Brong Ahafo"
"63","Nkoranza","Thomas Owusu Ansah","NDC","Brong Ahafo"
"64","Sene","Mahama P. Azum","NDC","Brong Ahafo"
"65","Sunyani East","Yaw Manu-Yeboah","NDC","Brong Ahafo"
"66","Sunyani West","Joseph Gyamfi","NDC","Brong Ahafo"
"67","Tano North","Dominic Yaw Amoako","NDC","Brong Ahafo"
"68","Tano South","Samuel Amonoo Koto Asamoah","NDC","Brong Ahafo"
"69","Techiman North","","","Brong Ahafo"
"70","Techiman South","George Kwabena Owusu","NDC","Brong Ahafo"
"71","Wenchi East","Emmanuel Obeng Mensah","NDC","Brong Ahafo"
"72","Wenchi West","Johnson Asiedu Nketia","NDC","Brong Ahafo"
"73","Abura/Asebu/Kwamankese","Vincent K Turkson","NCP","Central"
"74","Agona East","Kojo Acquah Yankah","NDC","Central"
"75","Agona West","John Oscar Bimpong","NDC","Central"
"76","Ajumako/Enyan/Essiam","Dr. Joseph Kweku Enos","NDC","Central"
"77","Asikuma/Odoben/Brakwa","Ebenezer Kobina Fosu","NDC","Central"
"78","Assin North","Francis K Edzii","NCP","Central"
"79","Assin South","Kobina Okyere","NDC","Central"
"80","Awutu /Senya","Danny William Osardu","NCP","Central"
"81","Cape Coast","Harry Hayford","NCP","Central"
"82","Effutu","R. Ebenezer Ato Ayirebi-Acquah","NDC","Central"
"83","Gomoa East","Franis Kow Bortsie-Ansah","NDC","Central"
"84","Gomoa West","Ama Benyiwa-Doe","NDC","Central"
"85","Komenda/Edina/Eguafo/Abbrem","Dr. Ato Quarshie","NDC","Central"
"86","Mfantsiman East","David Kwaku Ansah","NDC","Central"
"87","Mfantsiman West","K Abaka-Quansah","NDC","Central"
"88","Twifo/Hemang/Lower/Denkyira","John Kweku Kumah","NDC","Central"
"89","Upper Denkyira","Kwaku Addai-Gyambrah","NDC","Central"
"90","Abetifi","Opoku Preko","NCP","Eastern"
"91","Abuakwa","Owraku Amofa","EGLE","Eastern"
"92","Afram Plains North","Akuamoah Boateng","NCP","Eastern"
"93","Afram Plains South","Akuamoah Asomani","NCP","Eastern"
"94","Akim Oda","Nana Boaten-Abora","NDC","Eastern"
"95","Akim Swedru","Paul Kofi Peprah","NDC","Eastern"
"96","Akropong","Richie Agyemfra-Kumi","NDC","Eastern"
"97","Akwapim South","David Adu-Tutu","NCP","Eastern"
"98","Akwatia","Gilbert Kwasi Agyei","NDC","Eastern"
"99","Asuogyaman","Jonathan Robert Owiredu","NDC","Eastern"
"100","Atiwa","William Obeng Boateng","NCP","Eastern"
"101","Ayensuano","Elizabeth Kusi Aidoo","NCP","Eastern"
"102","Birim North","Dr Owusu Agyekum(Minority Leader)","NCP","Eastern"
"103","Fanteakwa","Darko Asomaning","NDC","Eastern"
"104","Kade","John Darlington Brobbey","NDC","Eastern"
"105","Koforidua","Kwame Larbi Nyanteh","NCP","Eastern"
"106","Lower Manya Krobo","Major(Rtd) Emmanuel T Tetteh","NDC","Eastern"
"107","Lower West Akim","Akuamoah Ofosu-Boateng","NDC","Eastern"
"108","Mpraeso","Philip Kwabena Boamah","EGLE","Eastern"
"109","New Juabeng North","Samuel Nuamah Donkor","NCP","Eastern"
"110","Nkawkaw","Dr Martin Maxwell Owusu-Ansah","NCP","Eastern"
"111","Okere","Seth Atiemo Akuffo","NCP","Eastern"
"112","Suhum","Emmanuel Obeng-Darko","NDC","Eastern"
"113","Upper Manya Krobo","Charles Tei Sawer","NDC","Eastern"
"114","Upper West Akim","Samuel Sallas Mensa","NDC","Eastern"
"115","Yilo Krobo","Priscilla Esther Korboe","EGLE","Eastern"
"116","Ablekuma Central","Dr. Victor Agadzi","NDC","Greater Accra"
"117","Ablekuma North","Adam Baako Nortey Yeboah","NDC","Greater Accra"
"118","Ablekuma South","Vincent Birch Freeman","NCP","Greater Accra"
"119","Ada","Amos Lawerh Buertey","NDC","Greater Accra"
"120","Ashaiman","Franklin Winfred K Aheto","NDC","Greater Accra"
"121","Ayawaso Central","Sheik M F Nasiru-Nazubia","NCP","Greater Accra"
"122","Ayawaso West-Wuogon","Dr. Francis Napoleon K Kumah","NCP","Greater Accra"
"123","Dade-Kotopon","Lemuel Nii-Amon Kotei","NCP","Greater Accra"
"124","Ayawaso East","Yahaya Seidu","NDC","Greater Accra"
"125","Ga North","Marian Lartele Lartey","EGLE","Greater Accra"
"126","Ga South","Frederick Aryee Laryea","NCP","Greater Accra"
"127","Klottey-Korle","Nathan Tetteh Mensah","EGLE","Greater Accra"
"128","Kpone-Katamanso","Beatrice Love Naa-Afieye Ashong","NDC","Greater Accra"
