"","Region","Candidate","NumVote","Percent_Vote"
"1","WESTERN","A.Adu Boahen","89,800","22.8"
"2","CENTRAL","A.Adu Boahen","86,683","26"
"3","GT ACCRA","A.Adu Boahen","188,000","37"
"4","VOLTA","A.Adu Boahen","17,295","3.6"
"5","EASTERN","A.Adu Boahen","190,327","37.7"
"6","ASHANTI","A.Adu Boahen","431,380","60.5"
"7","B/AHAFO","A.Adu Boahen","116,041","29.5"
"8","NORTHERN","A.Adu Boahen","52,539","16.3"
"9","UPPER EAST","A.Adu Boahen","21,164","10.5"
"10","UPPER WEST","A.Adu Boahen","11,535","8.9"
"11","WESTERN","Dr.Hilla Liman","33,760","8.6"
"12","CENTRAL","Dr.Hilla Liman","6,308","1.9"
"13","GT ACCRA","Dr.Hilla Liman","22,027","403"
"14","VOLTA","Dr.Hilla Liman","7,431","1.6"
"15","EASTERN","Dr.Hilla Liman","9,747","1.9"
"16","ASHANTI","Dr.Hilla Liman","17,620","2.5"
"17","B/AHAFO","Dr.Hilla Liman","20,646","5.3"
"18","NORTHERN","Dr.Hilla Liman","35,452","11"
"19","UPPER EAST","Dr.Hilla Liman","65,644","32.5"
"20","UPPER WEST","Dr.Hilla Liman","48,075","37.1"
"21","WESTERN","Kwabena Darko","21,924","5.6"
"22","CENTRAL","Kwabena Darko","11,631","3.5"
"23","GT ACCRA","Kwabena Darko","20,731","4.1"
"24","VOLTA","Kwabena Darko","3,534","0.7"
"25","EASTERN","Kwabena Darko","11,730","2.3"
"26","ASHANTI","Kwabena Darko","25,298","3.6"
"27","B/AHAFO","Kwabena Darko","8,979","2.3"
"28","NORTHERN","Kwabena Darko","4,682","1.5"
"29","UPPER EAST","Kwabena Darko","2,791","1.4"
"30","UPPER WEST","Kwabena Darko","2,329","1.8"
"31","WESTERN","J.J Rawlings","239,477","60.7"
"32","CENTRAL","J.J Rawlings","222,097","66.5"
"33","GT ACCRA","J.J Rawlings","270,825","53.4"
"34","VOLTA","J.J Rawlings","446,365","93.2"
"35","EASTERN","J.J Rawlings","288,726","57.3"
"36","ASHANTI","J.J Rawlings","234,237","32.9"
"37","B/AHAFO","J.J Rawlings","243,361","61.9"
"38","NORTHERN","J.J Rawlings","203,004","63"
"39","UPPER EAST","J.J Rawlings","108,999","54"
"40","UPPER WEST","J.J Rawlings","66,049","51"
"41","WESTERN","Gen. Erskine","9,325","2.4"
"42","CENTRAL","Gen. Erskine","7,312","2.2"
"43","GT ACCRA","Gen. Erskine","5,861","1.3"
"44","VOLTA","Gen. Erskine","4,105","0.9"
"45","EASTERN","Gen. Erskine","3,663","0.7"
"46","ASHANTI","Gen. Erskine","4,049","0.57"
"47","B/AHAFO","Gen. Erskine","3,837","1"
"48","NORTHERN","Gen. Erskine","26,715","8.3"
"49","UPPER EAST","Gen. Erskine","3,348","1.7"
"50","UPPER WEST","Gen. Erskine","1,612","1.2"
