"","X1","X2","X3","X4","X5","X6"
"1","Ashanti Region - 33 seats[edit]","Ashanti Region - 33 seats[edit]","Ashanti Region - 33 seats[edit]",NA,NA,NA
"2","Constituency","Elected MP","Elected Party",NA,NA,NA
"3","Adansi Asokwa","John Gyasi","NDC",NA,NA,NA
"4","Afigya-Sekyere East","Pius M G Griffiths","NDC",NA,NA,NA
"5","Afigya-Sekyere West","Mrs. Beatrice Aboagye","NDC",NA,NA,NA
"6","Ahafo Ano North","George Kwasi Adjei Annim","EGLE",NA,NA,NA
"7","Ahafo Ano South","Gabriel Barimah","NDC",NA,NA,NA
"8","Amansie West","Kofi Amankwaa Peasah","NDC",NA,NA,NA
"9","Asante Akim North","","NDC",NA,NA,NA
"10","Asante Akim South","","NDC",NA,NA,NA
"11","Asokwa East","Othman Baba Yahya","NCP",NA,NA,NA
"12","Asokwa West","Anthony K. Sarpong Kumankuma","NCP",NA,NA,NA
"13","Atwima/Kwanwoma","Sampson Adu Gyamfi","NDC",NA,NA,NA
"14","Atwima Mponua","","NDC",NA,NA,NA
"15","Atwima Nwabiagya","Yaw Bampoh","NDC",NA,NA,NA
"16","Bantama","Ofori Owusu Jibreel","NDC",NA,NA,NA
"17","Bekwai","Oduro Ofrikyi","NDC",NA,NA,NA
"18","Bosome-Freho","","NDC",NA,NA,NA
"19","Bosomtwe","Yaw Addai Boadu","EGLE",NA,NA,NA
"20","Effiduase-Asokore","","NDC",NA,NA,NA
"21","Ejisu/Juabeng","Mohammed Boakye-Agyemang","NDC",NA,NA,NA
"22","Ejura Sekyedumasi","Peter Boakye Ansah","NDC",NA,NA,NA
"23","Fomena","Nana Odame Kusi","NDC",NA,NA,NA
"24","Kumawu","Jargisu Ibrahim","NDC",NA,NA,NA
"25","Kwabre","Abena Takyiwa","NDC",NA,NA,NA
"26","Mampong","Dr. George Akosa","NDC",NA,NA,NA
"27","Manhyia","William Kwaku Asante","NDC",NA,NA,NA
"28","New Edubease","Mary Euginia Ghann","NDC",NA,NA,NA
"29","Nsuta/Kwamang","Samuel Brenyah","NDC",NA,NA,NA
"30","Obuasi","Peter Keneth Owusu","NDC",NA,NA,NA
"31","Odotobri","Maxwell Mensah Ebenezer","NCP",NA,NA,NA
"32","Offinso North","Emmanuel Kwame Boakye","NDC",NA,NA,NA
"33","Offinso South","Oheneba Kofi Asamoah","EGLE",NA,NA,NA
"34","Old Tafo Suame","Nana Kwasi Afful Kingsley","EGLE",NA,NA,NA
"35","Subin","Sarkodie Joseph A tuffour","NDC",NA,NA,NA
"36","Brong Ahafo Region - 21 seats[edit]","Brong Ahafo Region - 21 seats[edit]","Brong Ahafo Region - 21 seats[edit]",NA,NA,NA
"37","Constituency","Elected MP","Elected Party",NA,NA,NA
"38","Asunafo North","David Kwasi Amankwaah","NDC",NA,NA,NA
"39","Asunafo South","","NDC",NA,NA,NA
"40","Asutifi North","Baah-Danquah Emmanuel","NDC",NA,NA,NA
"41","Asutifi South","Collins Dauda","NDC",NA,NA,NA
"42","Atebubu North","","",NA,NA,NA
"43","Atebubu South","Ali Amadu","NDC",NA,NA,NA
"44","Berekum","J.H. Owusu Acheampong(Majority Leader)","NDC",NA,NA,NA
"45","Dormaa East","Yaw Oppong Kyekyeku","NCP",NA,NA,NA
"46","Dormaa West","","",NA,NA,NA
"47","Jaman","","",NA,NA,NA
"48","Kintampo","Kwasi Gyasi Manu","NDC",NA,NA,NA
"49","Nkoranza","Thomas Owusu Ansah","NDC",NA,NA,NA
"50","Sene","Mahama P. Azum","NDC",NA,NA,NA
"51","Sunyani East","Yaw Manu-Yeboah","NDC",NA,NA,NA
"52","Sunyani West","Joseph Gyamfi","NDC",NA,NA,NA
"53","Tano North","Dominic Yaw Amoako","NDC",NA,NA,NA
"54","Tano South","Samuel Amonoo Koto Asamoah","NDC",NA,NA,NA
"55","Techiman North","","",NA,NA,NA
"56","Techiman South","George Kwabena Owusu","NDC",NA,NA,NA
"57","Wenchi East","Emmanuel Obeng Mensah","NDC",NA,NA,NA
"58","Wenchi West","Johnson Asiedu Nketia","NDC",NA,NA,NA
"59","Central Region - 17 seats[edit]","Central Region - 17 seats[edit]","Central Region - 17 seats[edit]",NA,NA,NA
"60","Constituency","Elected MP","Elected Party",NA,NA,NA
"61","Abura/Asebu/Kwamankese","Vincent K Turkson","NCP",NA,NA,NA
"62","Agona East","Kojo Acquah Yankah","NDC",NA,NA,NA
"63","Agona West","John Oscar Bimpong","NDC",NA,NA,NA
