"","Constituency","Elected MP","Elected Party","Previous MP","Previous Party","Region"
"1","Ahanta West","Samuel Kwofie","NPP","","","Western"
"2","Amenfi Central","John Frank Abu","NDC","Dr. John Frank Abu","NDC","Western"
"3","Amenfi East","George Buadi","NDC","George Buadi","NDC","Western"
"4","Amenfi West","Abraham Kofi Asante","NDC","Francis Fynn","NDC","Western"
"5","Aowin-Suaman","John Kwekuchur Ackah","NDC","John Kwekucher Ackah","NDC","Western"
"6","Bia","Christian Kwabena Asante","NDC","Christian Kwabena Asante","NDC","Western"
"7","Bibiani","Seidu Paakuna Adamu","NDC","Kwame Darko","NDC","Western"
"8","Effia/Kwesimintsim","Joseph E.K. Abekah","PCP","James Mike Abban","NCP","Western"
"9","Ellembele","Freddie W.A. Blay","PCP","John Aitpillah","NDC","Western"
"10","Evalue Gwira","Kojo Armah","PCP","","","Western"
"11","Jomoro","Joseph Emmanuel Ackah","NDC","Joseph Emmanuel Ackah","NDC","Western"
"12","Juabeso","Anthony K Gyapong-Mensah","NDC","Kingsley Asoah-Apima","NDC","Western"
"13","Mpohor-Wassa East","Samuel Kwame Amponsah","NDC","Mary Stella Ankomah","NCP","Western"
"14","Prestea/Huni-Valley","Kwaku Acheampong Bonful","NDC","Kwaku Acheampong Bonful","NDC","Western"
"15","Sefwi-Wiawso","Isaac Kobina Nyame-Ofori","NDC","John Kweku Danso","NDC","Western"
"16","Sekondi","Papa Owusu Ankomah","NPP","Albert Bosomtwi-Sam","NDC","Western"
"17","Shama","Richard Dornu Nartey","NDC","Richard Dornu Nartey","NDC","Western"
"18","Takoradi","Gladys Asmah","NPP","Tabitha Sybil Quaye","NDC","Western"
"19","Tarkwa -Nsuaem","Joseph Ghansah","PCP","Mathew Kojo Kum","NDC","Western"
"20","Adansi Asokwa","John Kofi Gyasi","NDC","John Kofi Gyasi","NDC","Ashanti"
"21","Afigya-Sekyere East","Kwesi Akomia Kyeremateng","NPP","Pius M G Griffiths","NDC","Ashanti"
"22","Afigya-Sekyere West","Albert Kan-Dapaah","NPP","Mrs. Beatrice Aboagye","NDC","Ashanti"
"23","Ahafo Ano North","Baffour Annor","NDC","George Kwasi Adjei Annim","EGLE","Ashanti"
"24","Ahafo Ano South","Gabriel Barima","NPP","Gabriel Barimah","NDC","Ashanti"
"25","Amansie West","Anthony Boakye-Yiadom","NPP","Kofi Amankwaa Peasah","NDC","Ashanti"
"26","Asante Akim North","Kwadwo Baah-Wiredu","NPP","Collins Agyarko Nti","NDC","Ashanti"
"27","Asante Akim South","Alex Kwaku Korankye","NPP","","NDC","Ashanti"
"28","Asokwa East","Ahmed Musah","NDC","Othman Baba Yahya","NCP","Ashanti"
"29","Asokwa West","Edward Osei-Kwaku","NPP","Anthony K. Sarpong Kumankuma","NCP","Ashanti"
"30","Atwima/Kwanwoma","Dr. Matthew Kwaku Antwi","NPP","Sampson Adu Gyamfi","NDC","Ashanti"
"31","Atwima Mponua","Akwasi Dante Afriyie","NPP","","NDC","Ashanti"
"32","Atwima Nwabiagya","James Edusei Sarkodie","NPP","Yaw Bampoh","NDC","Ashanti"
"33","Bantama","Richard Winfred Anane","NPP","Ofori Owusu Jibreel","NDC","Ashanti"
"34","Bekwai","Alexander Agyei-Acheampong","NPP","Oduro Ofrikyi","NDC","Ashanti"
"35","Bosome-Freho","Gabriel Yaw Amoah","NPP","","NDC","Ashanti"
"36","Bosomtwe","Poku Adu-Gyamfi","NPP","Yaw Addai Boadu","EGLE","Ashanti"
"37","Effiduase-Asokore","Mrs. Grace Coleman","NPP","","NDC","Ashanti"
"38","Ejisu/Juabeng","Akwasi Osei-Adjei","NPP","Mohammed Boakye-Agyemang","NDC","Ashanti"
"39","Ejura Sekyedumasi","Peter Boakye-Ansah","NPP","Peter Boakye Ansah","NDC","Ashanti"
"40","Fomena","Akwasi Afrifa","NPP","Nana Odame Kusi","NDC","Ashanti"
"41","Kumawu","Reo Addai Basoah","NPP","Jargisu Ibrahim","NDC","Ashanti"
"42","Kwabre","Nana Asante Frimpong","NPP","Abena Takyiwa","NDC","Ashanti"
"43","Mampong","Solomon Kwabena Sarfoh","NPP","Dr. George Akosa","NDC","Ashanti"
"44","Manhyia","Kwame Addo-Kufuor","NPP","William Kwaku Asante","NDC","Ashanti"
"45","New Edubease","Theresa Joyce Baffoe","NDC","Theresa Joyce Boaffoe","NDC","Ashanti"
"46","Nsuta/Kwamang","Kwame Osei Prempeh","NPP","Samuel Brenyah","NDC","Ashanti"
"47","Obuasi","Anthony Bright Boadi-Mensah","NPP","Peter Keneth Owusu","NDC","Ashanti"
"48","Odotobri","Samuel Nkrumah Gyimah","NPP","Maxwell Mensah Ebenezer","NCP","Ashanti"
"49","Offinso North","Kofi Konadu Apraku","NPP","Emmanuel Kwame Boakye","NDC","Ashanti"
"50","Offinso South","Francis Kwasi Buor","NPP","Oheneba Kofi Asamoah","EGLE","Ashanti"
"51","Old Tafo Suame","Osei Kyei Mensah Bonsu","NPP","Nana Kwasi Afful Kingsley","EGLE","Ashanti"
"52","Subin","Sampson Kwaku Boafo","NPP","Sarkodie Joseph A tuffour","NDC","Ashanti"
"53","Asunafo North","David Kwasi Amankwah","NDC","David Kwasi Amankwaah","NDC","Brong Ahafo"
"54","Asunafo South","Francis Adu-Poku","NDC","","","Brong Ahafo"
"55","Asutifi North","Emmanuel Baah Danquah","NDC","Emmanuel Baah Danquah","NDC","Brong Ahafo"
"56","Asutifi South","Collins Dauda","NDC","Collins Dauda","NDC","Brong Ahafo"
"57","Atebubu North","David Yaw Mensah","NDC","","","Brong Ahafo"
"58","Atebubu South","Amadu Ali","NDC","Amadu Ali","NDC","Brong Ahafo"
"59","Berekum","J.H. Owusu Acheampong","NDC","J.H. Owusu Acheampong","NDC","Brong Ahafo"
"60","Dormaa East","Nicholas K. Adjei-Kyeremeh","NDC","Yaw Oppong Kyekyeku","NCP","Brong Ahafo"
"61","Dormaa West","Thomas Kwame Yeboah","NDC","","","Brong Ahafo"
"62","Jaman","Nicholas Appiah-Kubi","NDC","","","Brong Ahafo"
"63","Kintampo","Gladys Abena Nsoah","NDC","Kwasi Gyasi Manu","NDC","Brong Ahafo"
"64","Nkoranza","Theresa Nyarko-Fofie","NDC","Thomas Owusu Ansah","NDC","Brong Ahafo"
"65","Sene","Nana Yaw Otto","NDC","Mahama P. Azum","NDC","Brong Ahafo"
"66","Sunyani East","Joseph Henry Mensah","NPP","Yaw Manu-Yeboah","NDC","Brong Ahafo"
"67","Sunyani West","Kwadwo Adjei Darko","NPP","Joseph Gyamfi","NDC","Brong Ahafo"
"68","Tano North","Joe Donkor","NPP","Dominic Yaw Amoako","NDC","Brong Ahafo"
"69","Tano South","Grace Boachie","NDC","Nana Koduah Kwarteng","NDC","Brong Ahafo"
"70","Techiman North","Isaac Kwadwo Adjei Mensah","NDC","","","Brong Ahafo"
"71","Techiman South","Kwadwo Mama Adams","NDC","George Kwabena Owusu","NDC","Brong Ahafo"
"72","Wenchi East","Alhaji Moctar Musah Bambah","NPP","Emmanuel Obeng Mensah","NDC","Brong Ahafo"
"73","Wenchi West","Johnson Asiedu Nketia","NDC","Johnson Asiedu Nketia","NDC","Brong Ahafo"
"74","Abura/Asebu/Kwamankese","J.E. Afful","NDC","Vincent K Turkson","NCP","Central"
"75","Agona East","Kojo Acquah Yankah","NDC","Kojo Acquah Yankah","NDC","Central"
"76","Agona West","Samuel Oppong","NDC","John Oscar Bimpong","NDC","Central"
"77","Ajumako/Enyan/Essiam","Isaac Eduasar Edumadze","NPP","Dr. Joseph Kweku Enos","NDC","Central"
"78","Asikuma/Odoben/Brakwa","Ebenezer Kobina Fosu","NDC","Ebenezer Kobina Fosu","NDC","Central"
"79","Assin North","Florence Kumi","NDC","Francis K Edzii","NCP","Central"
"80","Assin South","Kwaku Al-Hassan Dadzie","NDC","Kobina Okyere","NDC","Central"
"81","Awutu /Senya","Babalami Abu-Sadat","NDC","Danny William Osardu","NCP","Central"
"82","Cape Coast","Christine Churcher","NPP","J. E. Ekuban","NDC","Central"
"83","Effutu","Mike Allen Hammah","NDC","R. E.A. Ayirebi-Acquah","NDC","Central"
"84","Gomoa East","Thomas Kweku Aubyn","NDC","Franis Kow Bortsie-Ansah","NDC","Central"
"85","Gomoa West","Ama Benyiwa-Doe","NDC","Mrs. Ama Benyiwa-Doe","NDC","Central"
"86","Komenda/Edina/Eguafo/Abbrem","Ato Quarshie","NDC","Dr. Ato Quarshie","NDC","Central"
"87","Mfantsiman East","Comfort Owusu","NDC","Comfort Owusu","NCP","Central"
"88","Mfantsiman West","Jacob Scherrer Arthur","NDC","K Abaka-Quansah","NDC","Central"
"89","Twifo/Hemang/Lower/Denkyira","John Kweku Kumah","NDC","John Kweku Kumah","NDC","Central"
"90","Upper Denkyira","Clement Charles Omar Nyanor","NPP","Kwaku Addai-Gyambrah","NDC","Central"
"91","Abetifi","Eugene Atta Agyepong","NPP","Opoku Preko","NCP","Eastern"
"92","Abuakwa","Nana Addo Dankwa Akufo-Addo","NPP","Owraku Amofa","EGLE","Eastern"
"93","Afram Plains North","Krosby Mensah","NDC","Akuamoah Boateng","NCP","Eastern"
"94","Afram Plains South","Kwakye Addo","NDC","Akuamoah Asomani","NCP","Eastern"
"95","Akim Oda","Yaw Osafo-Maafo","NPP","Nana Boaten-Abora","NDC","Eastern"
"96","Akim Swedru","Felix Owusu Adjapong","NPP","Paul Kofi Peprah","NDC","Eastern"
