"","Region","Candidate","PartyName","NumVote","PercentVote"
"1","WESTERN REGION","J.J Rawlings","NDC",405992,57.3
"2","CENTRAL REGION","J.J Rawlings","NDC",330841,55.22
"3","GT ACCRA  REGION","J.J Rawlings","NDC",658626,53.99
"4","VOLTA  REGION","J.J Rawlings","NDC",690421,94.55
"5","EASTERN  REGION","J.J Rawlings","NDC",459092,53.76
"6","ASHANTI  REGION","J.J Rawlings","NDC",412474,32.79
"7","BRONG AHAFO  REGION","J.J Rawlings","NDC",395381,61.73
"8","NORTHERN  REGION","J.J Rawlings","NDC",370030,61.13
"9","UPPER EAST  REGION","J.J Rawlings","NDC",230791,68.99
"10","UPPER WEST REGION","J.J Rawlings","NDC",145812,74.61
"11","WESTERN REGION","J.A Kufuor","NPP",289730,40.89
"12","CENTRAL REGION","J.A Kufuor","NPP",259555,43.32
"13","GT ACCRA  REGION","J.A Kufuor","NPP",528484,43.32
"14","VOLTA  REGION","J.A Kufuor","NPP",34538,4.73
"15","EASTERN  REGION","J.A Kufuor","NPP",384597,45.04
"16","ASHANTI  REGION","J.A Kufuor","NPP",827804,43.77
"17","BRONG AHAFO  REGION","J.A Kufuor","NPP",230457,35.98
"18","NORTHERN  REGION","J.A Kufuor","NPP",199801,33.01
"19","UPPER EAST  REGION","J.A Kufuor","NPP",58041,17.35
"20","UPPER WEST REGION","J.A Kufuor","NPP",21871,11.19
"21","WESTERN REGION","E.N Mahama","PNC",12862,1.82
"22","CENTRAL REGION","E.N Mahama","PNC",8715,1.45
"23","GT ACCRA  REGION","E.N Mahama","PNC",32723,2.68
"24","VOLTA  REGION","E.N Mahama","PNC",5292,0.72
"25","EASTERN  REGION","E.N Mahama","PNC",10251,1.2
"26","ASHANTI  REGION","E.N Mahama","PNC",17736,1.41
"27","BRONG AHAFO  REGION","E.N Mahama","PNC",14635,2.29
"28","NORTHERN  REGION","E.N Mahama","PNC",35472,5.86
"29","UPPER EAST  REGION","E.N Mahama","PNC",45696,13.66
"30","UPPER WEST REGION","E.N Mahama","PNC",27754,14.2
