"","Constituency","Elected MP","Elected Party","Previous MP","Previous Party","Region"
"1","Ahanta West","Samuel Johnfiah","NPP","Samuel Kwofie","NPP","Western"
"2","Amenfi Central","John Frank Abu","NDC","John Frank Abu","NDC","Western"
"3","Amenfi East","Joseph Boahen Aidoo","NPP","George Buadi","NDC","Western"
"4","Amenfi West","Abraham Kofi Asante[8]","NDC","Abraham Kofi Asante","NDC","Western"
"5","Aowin-Suaman","John Kwekuchur Ackah","NDC","John Kwekuchur Ackah","NDC","Western"
"6","Bia","Michael Coffie Boampong","NDC","Christian Kwabena Asante","NDC","Western"
"7","Bibiani","Seidu Paakuna Adamu","NDC","Seidu Paakuna Adamu","NDC","Western"
"8","Effia/Kwesimintsim","Joe Baidoo-Ansah","NPP","Joseph E.K. Abekah","PCP","Western"
"9","Ellembele","Freddie W.A. Blay","CPP","Freddie W.A. Blay","CPP/PCP","Western"
"10","Evalue Gwira","Edith Hazel","NDC","Kojo Armah","PCP","Western"
"11","Jomoro","Joseph Emmanuel Ackah","NDC","Joseph Emmanuel Ackah","NDC","Western"
"12","Juabeso","Anthony K. Gyapong-Mensah","NDC","Anthony K. Gyapong-Mensah","NDC","Western"
"13","Mpohor-Wassa East","Samuel Kwame Amponsah","NDC","Samuel Kwame Amponsah","NDC","Western"
"14","Prestea-Huni-Valley","Albert Kwaku Obbin","NPP","Kweku Acheampong Bonful","NDC","Western"
"15","Sefwi-Wiawso","Isaac Kobina Nyame-Ofori","NDC","Isaac Kobina Nyame-Ofori","NDC","Western"
"16","Sekondi","Papa Owusu Ankomah","NPP","Papa Owusu Ankomah","NPP","Western"
"17","Shama","Angelina Baiden-Amissah","NPP","Richard Dornu Nartey","NDC","Western"
"18","Takoradi","Gladys Asmah","NPP","Gladys Asmah","NPP","Western"
"19","Tarkwa -Nsuaem","Gifty Eugenia Kwofie","NPP","Joseph Ghansah","PCP","Western"
"20","Adansi Asokwa","Kobina T.Hammond","NPP","John Gyasi","NDC","Ashanti"
"21","Afigya-Sekyere East","Kwesi Akomia Kyeremateng","NPP","Kwesi Akomia Kyeremateng","NPP","Ashanti"
"22","Afigya-Sekyere West","Albert Kan-Dapaah","NPP","Albert Kan-Dapaah","NPP","Ashanti"
"23","Ahafo Ano North","Kwame Owusu Frimpong","NPP","Annor Baffour","NDC","Ashanti"
"24","Ahafo Ano South","Stephen K. Balado Manu","NPP","Stephen K. Balado Manu","NPP","Ashanti"
