"","Region","Candidate","PartyName","NumVote","PercentVote"
"1","WESTERN REGION","J.J Rawlings","NDC",405992,57
"2","CENTRAL REGION","J.J Rawlings","NDC",330841,55
"3","GT ACCRA  REGION","J.J Rawlings","NDC",658626,54
"4","VOLTA  REGION","J.J Rawlings","NDC",690421,95
"5","EASTERN  REGION","J.J Rawlings","NDC",459092,54
"6","ASHANTI  REGION","J.J Rawlings","NDC",412474,33
"7","BRONG AHAFO  REGION","J.J Rawlings","NDC",395381,62
"8","NORTHERN  REGION","J.J Rawlings","NDC",370030,61
"9","UPPER EAST  REGION","J.J Rawlings","NDC",230791,69
"10","UPPER WEST REGION","J.J Rawlings","NDC",145812,75
"11","WESTERN REGION","J.A Kufuor","NPP",289730,41
"12","CENTRAL REGION","J.A Kufuor","NPP",259555,43
"13","GT ACCRA  REGION","J.A Kufuor","NPP",528484,43
"14","VOLTA  REGION","J.A Kufuor","NPP",34538,5
"15","EASTERN  REGION","J.A Kufuor","NPP",384597,45
"16","ASHANTI  REGION","J.A Kufuor","NPP",827804,44
"17","BRONG AHAFO  REGION","J.A Kufuor","NPP",230457,36
"18","NORTHERN  REGION","J.A Kufuor","NPP",199801,33
"19","UPPER EAST  REGION","J.A Kufuor","NPP",58041,17
"20","UPPER WEST REGION","J.A Kufuor","NPP",21871,11
"21","WESTERN REGION","E.N Mahama","PNC",12862,2
"22","CENTRAL REGION","E.N Mahama","PNC",8715,1
"23","GT ACCRA  REGION","E.N Mahama","PNC",32723,3
"24","VOLTA  REGION","E.N Mahama","PNC",5292,1
"25","EASTERN  REGION","E.N Mahama","PNC",10251,1
"26","ASHANTI  REGION","E.N Mahama","PNC",17736,1
"27","BRONG AHAFO  REGION","E.N Mahama","PNC",14635,2
"28","NORTHERN  REGION","E.N Mahama","PNC",35472,6
"29","UPPER EAST  REGION","E.N Mahama","PNC",45696,14
"30","UPPER WEST REGION","E.N Mahama","PNC",27754,14
